Date,Time (GMT),Wind Speed (m/s),Wind Dir (deg),Wind Gust (m/s),Air Temp (°C),Baro (mb),Humidity (%),Visibility (km)
2021/09/11,00:00,2.9,1,5.1,22.2,1018.0,-,-
2021/09/11,00:06,2.7,-,5.0,22.2,1018.2,-,-
2021/09/11,00:12,3.7,3,4.9,22.3,1018.3,-,-
2021/09/11,00:18,3.2,5,4.7,22.3,1018.4,-,-
2021/09/11,00:24,3.1,1,4.8,22.3,1018.5,-,-
2021/09/11,00:30,3.3,2,5.7,22.3,1018.6,-,-
2021/09/11,00:36,3.3,355,5.1,22.3,1018.7,-,-
2021/09/11,00:42,4.2,355,5.9,22.3,1018.7,-,-
2021/09/11,00:48,3.8,-,5.2,22.4,1018.8,-,-
2021/09/11,00:54,3.5,355,5.5,22.3,1018.8,-,-
2021/09/11,01:00,3.5,359,5.4,22.4,1018.9,-,-
2021/09/11,01:06,3.7,358,5.7,22.3,1018.9,-,-
2021/09/11,01:12,4.3,-,5.6,22.4,1019.0,-,-
2021/09/11,01:18,4.5,5,6.3,22.4,1019.0,-,-
2021/09/11,01:24,3.5,4,5.7,22.4,1019.0,-,-
2021/09/11,01:30,4.3,357,5.8,22.4,1019.1,-,-
2021/09/11,01:36,3.4,356,6.2,22.4,1019.2,-,-
2021/09/11,01:42,3.4,351,5.9,22.2,1019.2,-,-
2021/09/11,01:48,3.5,351,5.4,22.1,1019.2,-,-
2021/09/11,01:54,4.0,354,5.8,22.3,1019.2,-,-
2021/09/11,02:00,4.3,351,6.4,22.3,1019.2,-,-
2021/09/11,02:06,3.9,349,5.5,22.2,1019.2,-,-
2021/09/11,02:12,3.8,346,5.3,22.2,1019.2,-,-
2021/09/11,02:18,3.7,341,5.7,22.2,1019.3,-,-
2021/09/11,02:24,2.7,336,5.4,21.8,1019.3,-,-
2021/09/11,02:30,2.7,337,4.0,21.7,1019.3,-,-
2021/09/11,02:36,2.9,345,5.6,21.8,1019.3,-,-
2021/09/11,02:42,3.2,332,4.6,21.7,1019.3,-,-
2021/09/11,02:48,3.6,340,4.6,21.6,1019.4,-,-
2021/09/11,02:54,2.9,342,4.5,21.6,1019.4,-,-
2021/09/11,03:00,3.1,335,4.1,21.6,1019.4,-,-
2021/09/11,03:06,4.1,344,5.5,21.7,1019.2,-,-
2021/09/11,03:12,3.5,343,5.8,21.7,1019.2,-,-
2021/09/11,03:18,3.3,345,5.6,21.9,1019.3,-,-
2021/09/11,03:24,3.2,342,5.1,21.8,1019.3,-,-
2021/09/11,03:30,3.8,340,5.6,21.9,1019.3,-,-
2021/09/11,03:36,2.9,346,4.7,21.9,1019.4,-,-
2021/09/11,03:42,3.6,342,5.2,22,1019.4,-,-
2021/09/11,03:48,4.3,355,6.2,22.2,1019.5,-,-
2021/09/11,03:54,4.4,345,6.2,22.2,1019.7,-,-
2021/09/11,04:00,3.5,352,5.6,22.3,1019.7,-,-
2021/09/11,04:06,3.2,339,5.4,22.1,1019.7,-,-
2021/09/11,04:12,3.8,353,5.7,22.2,1019.7,-,-
2021/09/11,04:18,4.4,342,6.1,22.2,1019.8,-,-
2021/09/11,04:24,4.0,339,6.4,22,1019.9,-,-
2021/09/11,04:30,3.3,-,4.9,22.2,1020.0,-,-
2021/09/11,04:36,3.3,-,5.3,22.3,1019.9,-,-
2021/09/11,04:42,3.7,3,6.2,22.4,1019.9,-,-
2021/09/11,04:48,3.5,5,5.6,22.4,1020.0,-,-
2021/09/11,04:54,3.0,360,5.3,22.3,1020.0,-,-
2021/09/11,05:00,3.1,9,5.3,22.4,1020.1,-,-
2021/09/11,05:06,3.5,19,5.1,22.6,1020.2,-,-
2021/09/11,05:12,3.0,357,5.0,22.6,1020.2,-,-
2021/09/11,05:18,2.3,2,4.8,22.5,1020.2,-,-
2021/09/11,05:24,3.2,13,4.8,22.6,1020.2,-,-
2021/09/11,05:30,3.6,7,5.6,22.6,1020.3,-,-
2021/09/11,05:36,4.2,18,5.4,22.6,1020.4,-,-
2021/09/11,05:42,3.9,20,5.1,22.5,1020.4,-,-
2021/09/11,05:48,3.4,16,5.1,22.4,1020.4,-,-
2021/09/11,05:54,3.7,27,4.8,22.5,1020.5,-,-
2021/09/11,06:00,3.9,30,5.2,22.5,1020.6,-,-
2021/09/11,06:06,3.2,31,4.6,22.5,1020.6,-,-
2021/09/11,06:12,3.7,17,4.9,22.3,1020.7,-,-
2021/09/11,06:18,3.3,30,4.8,22.4,1020.7,-,-
2021/09/11,06:24,2.9,36,4.5,22.4,1020.7,-,-
2021/09/11,06:30,2.4,35,3.3,22.3,1020.9,-,-
2021/09/11,06:36,2.6,34,3.4,22.3,1020.9,-,-
2021/09/11,06:42,1.8,20,2.9,22.1,1021.0,-,-
2021/09/11,06:48,2.3,23,3.5,22.1,1021.1,-,-
2021/09/11,06:54,2.8,16,3.5,22.2,1021.0,-,-
2021/09/11,07:00,2.2,32,3.3,22.2,1021.0,-,-
2021/09/11,07:06,1.3,33,2.3,22.2,1021.1,-,-
2021/09/11,07:12,2.3,28,3.1,22.1,1021.1,-,-
2021/09/11,07:18,2.2,37,2.7,22.2,1021.1,-,-
2021/09/11,07:24,2.1,17,2.9,22.2,1021.2,-,-
2021/09/11,07:30,1.5,23,2.4,22.1,1021.2,-,-
2021/09/11,07:36,2.0,42,3.0,22.1,1021.2,-,-
2021/09/11,07:42,2.2,34,3.5,22.2,1021.3,-,-
2021/09/11,07:48,2.2,27,3.0,22.3,1021.3,-,-
2021/09/11,07:54,2.2,45,3.2,22.2,1021.3,-,-
2021/09/11,08:00,2.7,44,3.1,22.3,1021.3,-,-
2021/09/11,08:06,2.7,58,3.5,22.3,1021.4,-,-
2021/09/11,08:12,1.9,56,3.5,22.2,1021.4,-,-
2021/09/11,08:18,2.0,41,2.9,22.1,1021.5,-,-
2021/09/11,08:24,2.7,39,3.6,22.3,1021.4,-,-
2021/09/11,08:30,2.3,53,3.1,22.2,1021.4,-,-
2021/09/11,08:36,2.0,51,2.8,22.2,1021.5,-,-
2021/09/11,08:42,2.7,42,3.4,22.3,1021.6,-,-
2021/09/11,08:48,2.5,43,3.1,22.2,1021.6,-,-
2021/09/11,08:54,2.1,33,2.8,22.1,1021.6,-,-
2021/09/11,09:00,1.9,37,2.6,22,1021.6,-,-
2021/09/11,09:06,2.1,28,3.2,21.9,1021.6,-,-
2021/09/11,09:12,2.2,32,3.2,22,1021.5,-,-
2021/09/11,09:18,1.8,44,2.9,22,1021.5,-,-
2021/09/11,09:24,1.4,29,2.1,21.8,1021.6,-,-
2021/09/11,09:30,2.1,35,3.1,22,1021.7,-,-
2021/09/11,09:36,1.2,39,2.3,21.8,1021.7,-,-
2021/09/11,09:42,2.1,36,3.4,21.9,1021.7,-,-
2021/09/11,09:48,2.7,27,4.3,22.1,1021.7,-,-
2021/09/11,09:54,2.0,33,3.8,22,1021.7,-,-
2021/09/11,10:00,2.4,28,3.7,22.1,1021.8,-,-
2021/09/11,10:06,1.9,34,3.1,21.9,1021.9,-,-
2021/09/11,10:12,2.5,28,3.4,22,1021.9,-,-
2021/09/11,10:18,2.2,31,3.6,22,1022.0,-,-
2021/09/11,10:24,2.2,32,3.5,22,1022.2,-,-
2021/09/11,10:30,2.4,27,3.7,22,1022.2,-,-
2021/09/11,10:36,2.6,19,3.6,21.9,1022.3,-,-
2021/09/11,10:42,2.1,15,2.8,21.8,1022.4,-,-
2021/09/11,10:48,1.9,18,3.4,21.7,1022.4,-,-
2021/09/11,10:54,2.0,17,2.5,21.6,1022.5,-,-
2021/09/11,11:00,1.5,12,2.5,21.8,1022.5,-,-
2021/09/11,11:06,1.3,10,1.9,21.9,1022.6,-,-
2021/09/11,11:12,1.4,15,2.8,22.1,1022.7,-,-
2021/09/11,11:18,1.2,1,2.4,22.2,1022.8,-,-
2021/09/11,11:24,1.5,3,2.6,22.3,1022.9,-,-
2021/09/11,11:30,2.1,16,2.7,22.6,1023.0,-,-
